count_point_id,year,count_date,hour,region_id,local_authority_id,road_name,road_type,start_junction_road_name,end_junction_road_name,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,all_motor_vehicles
36504,2017,05/10/2017,15,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,6,1247,16,1415
36504,2017,05/10/2017,16,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,10,1580,15,1745
36504,2017,05/10/2017,17,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,15,1473,12,1610
36504,2017,05/10/2017,18,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,1,1098,14,1193
36504,2017,05/10/2017,7,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,11,1453,14,1649
36504,2017,05/10/2017,8,10,152,A4600,Major,B4082 Clifford Bridge Rd,B4082 Woodway Lane,6,1534,10,1688
27151,2017,12/07/2017,12,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,470,13,558
27151,2017,12/07/2017,13,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,2,444,16,530
27151,2017,12/07/2017,14,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,4,461,14,552
27151,2017,12/07/2017,15,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,3,534,12,595
27151,2017,12/07/2017,16,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,9,582,11,660
27151,2017,12/07/2017,17,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,3,640,12,697
27151,2017,12/07/2017,18,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,478,8,509
27151,2017,12/07/2017,7,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,5,474,8,538
27151,2017,12/07/2017,8,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,3,430,10,511
27151,2017,12/07/2017,9,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,384,22,492
27151,2017,12/07/2017,10,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,0,361,10,430
27151,2017,12/07/2017,11,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,445,11,518
27151,2017,12/07/2017,12,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,3,456,9,526
27151,2017,12/07/2017,13,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,1,468,15,555
27151,2017,12/07/2017,14,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,2,430,10,506
27151,2017,12/07/2017,15,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,0,519,14,589
27151,2017,12/07/2017,16,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,4,483,8,542
27151,2017,12/07/2017,17,10,152,A429,Major,B4107 Earlsdon Ave,B4113 Leamington Rd,7,705,9,752
73314,2017,22/03/2017,16,10,152,A45,Major,A46,LA Boundary,4,1468,10,1867
73314,2017,22/03/2017,17,10,152,A45,Major,A46,LA Boundary,9,1637,8,1982
73314,2017,22/03/2017,18,10,152,A45,Major,A46,LA Boundary,4,1144,6,1326
